,liquidityRate_avg,variableBorrowRate_avg,utilizationRate_avg,stableBorrowRate_avg,x
0,0.0,0.0,0.0,0.09000000000000001,
1,0.0,0.0,0.0,0.09000000000000001,
2,0.0,0.0,0.0,0.09000000000000001,
3,0.0,0.0,0.0,0.09000000000000001,
4,0.0,0.0,0.0,0.09000000000000001,
5,0.0,0.0,0.0,0.09000000000000001,
6,0.0,0.0,0.0,0.09000000000000001,
7,0.0,0.0,0.0,0.09000000000000001,
8,0.0,0.0,0.0,0.09000000000000001,
9,0.0,0.0,0.04777483,0.09000000000000001,
10,0.0,0.0,0.04777483,0.09000000000000001,
11,0.0,0.0,0.04777483,0.09000000000000001,
12,0.0,0.0,0.04777483,0.09000000000000001,
13,0.0028300289335214403,0.02723553304784676,0.12647167083333333,0.09433512349776652,
14,0.00485147817175104,0.046689485224880166,0.1826837,0.09743164028188549,
15,0.00262585367266464,0.02494163393303256,0.14076094166666667,0.10839860935930663,
16,0.00218072877284736,0.02059206367466304,0.13237639,0.11059200317479086,
17,0.0018625802410468801,0.01887526063063152,0.12133975666666667,0.10887521226884948,
18,0.00122628317744592,0.01544165454256848,0.09926649,0.10544163045696671,
19,0.00051242935110768,0.00684346944016872,0.043993148333333336,0.09684345939444372,
20,0.0011598443670438,0.01501332881037444,0.09651257416666666,0.10501328696998415,
21,0.0011132384822352,0.01471275081144864,0.09458012,0.10471268290243779,
22,0.0011132384822352,0.01471275081144864,0.09458012,0.10471268290243779,
23,0.0011132384822352,0.01471275081144864,0.09458012,0.10471268290243779,
24,0.0011132384822352,0.01471275081144864,0.09458012,0.10471268290243779,
25,0.00108531659300868,0.014511763913959799,0.09328805083333334,0.10451170039274442,
26,0.00077817581151696,0.012300908041582561,0.07907529,0.10230089278611733,
27,0.00063983483425944,0.01018124880847416,0.07805113833333334,0.10214158589343218,
28,0.0,0.0,0.07561142,0.10176208457722874,
29,0.0010032560381124,0.01607004882327528,0.07875692,0.10176208457722874,
30,0.0014140680778656001,0.022389874574343122,0.08157748,0.1022008571136979,
31,0.0008216240795064,0.01263965150213568,0.08125254,0.10263962965016708,
32,0.0008132762016342,0.012573353400214681,0.08082633416666667,0.10257333252647886,
33,0.00072144954504,0.011844074279083678,0.07613807,0.10184406416590851,
34,0.0006590745862992,0.01131805606258008,0.07275649499999999,0.10131804098295848,
